"DataExtractDate","ReportPeriod","Arrival_Departure","Domestic_International","CargoType","AirCargoTons"
"2018 Apr 18 03:12:41 PM","Nov 2010","Departure","International","Freight","35,626"
"2018 Apr 18 03:12:41 PM","Apr 2014","Arrival","International","Freight","50,368"
"2018 Apr 18 03:12:41 PM","Dec 2016","Departure","Domestic","Freight","39,927"
"2018 Apr 18 03:12:41 PM","Jul 2008","Arrival","Domestic","Mail","1,778"
"2018 Apr 18 03:12:41 PM","May 2011","Arrival","Domestic","Mail","1,456"
"2018 Apr 18 03:12:41 PM","Dec 2007","Arrival","Domestic","Mail","1,899"
"2018 Apr 18 03:12:41 PM","Dec 2008","Arrival","Domestic","Mail","1,583"
"2018 Apr 18 03:12:41 PM","Feb 2011","Departure","International","Freight","33,970"
"2018 Apr 18 03:12:41 PM","Nov 2011","Arrival","Domestic","Freight","30,861"
"2018 Apr 18 03:12:41 PM","May 2017","Departure","International","Mail","991"
"2019 Apr 29 01:10:30 PM","Mar 2019","Arrival","Domestic","Freight","31,626"
"2018 Apr 18 03:12:41 PM","Aug 2010","Departure","Domestic","Freight","30,863"
"2018 Apr 18 03:12:41 PM","Sep 2015","Arrival","International","Freight","59,733"
"2018 Apr 18 03:12:41 PM","Dec 2006","Departure","International","Freight","34,810"
"2020 Apr 08 09:58:08 AM","Feb 2020","Departure","Domestic","Freight","29,400"
"2018 Apr 18 03:12:41 PM","Feb 2008","Arrival","Domestic","Mail","1,516"
"2018 Apr 18 03:12:41 PM","Jan 2016","Departure","Domestic","Freight","34,011"
"2018 Apr 18 03:12:41 PM","Jan 2008","Departure","Domestic","Freight","34,816"
"2020 Jan 02 10:43:42 AM","Nov 2019","Departure","Domestic","Mail","5,044"
"2018 Apr 18 03:12:41 PM","Nov 2008","Arrival","International","Freight","41,597"
"2018 Apr 18 03:12:41 PM","Aug 2009","Arrival","International","Freight","44,113"
"2018 Apr 18 03:12:41 PM","Feb 2016","Departure","International","Mail","1,034"
"2018 Apr 18 03:12:41 PM","Oct 2013","Departure","International","Freight","41,518"
"2018 Apr 18 03:12:41 PM","Oct 2006","Arrival","International","Freight","61,191"
"2018 Apr 18 03:12:41 PM","Jan 2016","Arrival","International","Freight","50,235"
"2018 Apr 18 03:12:41 PM","Mar 2010","Departure","Domestic","Freight","33,073"
"2018 Apr 18 03:12:41 PM","Apr 2006","Arrival","Domestic","Mail","2,536"
"2018 Apr 18 03:12:41 PM","Jan 2013","Departure","International","Freight","35,133"
"2020 Jun 29 07:20:39 AM","Apr 2020","Departure","Domestic","Freight","30,092"
"2018 Apr 18 03:12:41 PM","Dec 2017","Arrival","International","Mail","2,175"
"2018 Apr 18 03:12:41 PM","Jul 2008","Arrival","Domestic","Freight","29,301"
"2018 Apr 18 03:12:41 PM","Apr 2006","Departure","Domestic","Freight","40,440"
"2018 Apr 18 03:12:41 PM","Feb 2012","Departure","Domestic","Mail","2,404"
"2018 Apr 18 03:12:41 PM","Feb 2016","Arrival","International","Mail","1,082"
"2018 Apr 18 03:12:41 PM","Sep 2012","Departure","Domestic","Mail","2,661"
"2018 Apr 18 03:12:41 PM","Sep 2014","Arrival","International","Mail","931"
"2018 Apr 18 03:12:41 PM","Sep 2006","Departure","Domestic","Freight","38,434"
"2019 Nov 26 01:26:41 PM","Oct 2019","Departure","Domestic","Freight","34,093"
"2019 Apr 29 01:10:30 PM","Nov 2018","Arrival","International","Freight","82,402"
"2020 Jun 01 07:57:59 AM","Apr 2020","Departure","Domestic","Mail","4,333"
"2018 Apr 18 03:12:41 PM","Dec 2009","Departure","International","Freight","31,383"
"2018 Apr 18 03:12:41 PM","Oct 2007","Departure","International","Freight","34,611"
"2018 Apr 18 03:12:41 PM","Dec 2014","Arrival","Domestic","Mail","3,984"
"2019 May 28 06:24:45 AM","Apr 2019","Arrival","Domestic","Mail","3,196"
"2018 Apr 18 03:12:41 PM","Mar 2016","Arrival","Domestic","Mail","1,904"
"2018 Apr 18 03:12:41 PM","Feb 2018","Departure","Domestic","Mail","3,194"
"2018 Apr 18 03:12:41 PM","Aug 2008","Arrival","Domestic","Mail","1,561"
"2018 Apr 18 03:12:41 PM","Apr 2010","Departure","Domestic","Mail","2,155"
"2018 Apr 18 03:12:41 PM","Jan 2006","Arrival","Domestic","Freight","35,703"
"2018 Apr 18 03:12:41 PM","Oct 2006","Departure","International","Mail","1,202"
"2018 Apr 18 03:12:41 PM","Oct 2013","Arrival","International","Freight","53,365"
"2018 Apr 18 03:12:41 PM","Dec 2008","Departure","International","Freight","26,804"
"2021 Feb 02 08:17:02 AM","Nov 2020","Departure","International","Mail","718"
"2018 Apr 18 03:12:41 PM","Jul 2007","Departure","International","Mail","1,075"
"2019 Apr 29 01:10:30 PM","Apr 2018","Arrival","International","Freight","76,322"
"2018 Apr 18 03:12:41 PM","Nov 2006","Arrival","Domestic","Mail","2,158"
"2019 Apr 29 01:10:30 PM","May 2018","Departure","International","Freight","53,812"
"2019 Jul 18 06:18:08 AM","Jun 2019","Arrival","International","Mail","1,132"
"2018 Apr 18 03:12:41 PM","Jun 2014","Arrival","International","Mail","787"
"2020 Apr 29 07:14:24 AM","Mar 2020","Departure","International","Mail","521"
"2018 Apr 18 03:12:41 PM","Nov 2010","Arrival","International","Freight","56,125"
"2018 Apr 18 03:12:41 PM","Jul 2016","Departure","Domestic","Mail","2,679"
"2019 Jun 24 01:17:06 PM","May 2019","Departure","Domestic","Freight","35,486"
"2020 Dec 07 01:58:36 PM","Oct 2020","Departure","Domestic","Freight","37,083"
"2018 Apr 18 03:12:41 PM","Mar 2013","Arrival","Domestic","Freight","32,221"
"2018 Apr 18 03:12:41 PM","Oct 2011","Arrival","Domestic","Mail","1,695"
"2018 Apr 18 03:12:41 PM","Dec 2010","Arrival","International","Freight","47,371"
"2018 Apr 18 03:12:41 PM","Jan 2007","Departure","International","Freight","31,805"
"2018 Apr 18 03:12:41 PM","Feb 2006","Arrival","Domestic","Freight","35,065"
"2019 Nov 10 06:01:31 AM","Sep 2019","Departure","International","Freight","47,200"
"2019 Apr 29 01:10:30 PM","Sep 2018","Arrival","International","Freight","82,681"
"2018 Apr 18 03:12:41 PM","Oct 2011","Arrival","International","Freight","51,532"
"2019 Apr 29 01:10:30 PM","Mar 2019","Arrival","International","Freight","72,506"
"2019 Mar 01 11:09:59 AM","Jan 2019","Arrival","Domestic","Mail","2,885"
"2018 Apr 18 03:12:41 PM","Oct 2010","Arrival","International","Freight","53,766"
"2019 Apr 29 01:10:30 PM","Feb 2018","Arrival","International","Freight","59,740"
"2018 Apr 18 03:12:41 PM","May 2007","Departure","International","Mail","1,118"
"2018 Aug 21 11:02:45 AM","Jul 2018","Departure","Domestic","Mail","3,119"
"2018 Apr 18 03:12:41 PM","Nov 2017","Arrival","Domestic","Mail","2,841"
"2021 Feb 02 08:17:02 AM","Dec 2020","Arrival","Domestic","Mail","4,926"
"2018 Aug 24 11:01:04 AM","Jul 2018","Arrival","International","Mail","1,382"
"2018 Apr 18 03:12:41 PM","Oct 2017","Departure","Domestic","Freight","37,762"
"2018 Apr 18 03:12:41 PM","Sep 2012","Arrival","International","Freight","50,889"
"2018 Apr 18 03:12:41 PM","Jun 2006","Departure","International","Freight","38,843"
"2018 Apr 18 03:12:41 PM","Jun 2015","Departure","Domestic","Mail","2,578"
"2018 Apr 18 03:12:41 PM","May 2011","Departure","International","Mail","1,934"
"2018 Apr 18 03:12:41 PM","Jun 2009","Arrival","International","Freight","39,257"
"2018 Apr 18 03:12:41 PM","Feb 2014","Departure","Domestic","Mail","2,257"
"2018 Apr 18 03:12:41 PM","Jul 2016","Departure","International","Freight","49,989"
"2018 Apr 18 03:12:41 PM","Apr 2015","Arrival","Domestic","Mail","2,508"
"2018 Apr 18 03:12:41 PM","Oct 2014","Departure","International","Freight","42,323"
"2018 Apr 18 03:12:41 PM","Feb 2018","Arrival","International","Mail","1,341"
"2018 Apr 18 03:12:41 PM","Apr 2016","Arrival","International","Mail","1,134"
"2018 Apr 18 03:12:41 PM","Oct 2016","Departure","Domestic","Freight","35,204"
"2018 Apr 18 03:12:41 PM","Sep 2011","Arrival","International","Freight","46,465"
"2018 Apr 18 03:12:41 PM","Apr 2013","Departure","Domestic","Mail","2,311"
"2019 Mar 22 10:49:20 AM","Feb 2019","Arrival","Domestic","Freight","25,049"
"2018 Apr 18 03:12:41 PM","Oct 2010","Arrival","Domestic","Mail","1,565"
"2018 Apr 18 03:12:41 PM","Aug 2014","Departure","Domestic","Freight","33,695"
"2018 Apr 18 03:12:41 PM","Oct 2010","Departure","Domestic","Mail","2,526"
"2018 Apr 18 03:12:41 PM","Oct 2007","Arrival","Domestic","Freight","37,468"
"2018 Apr 18 03:12:41 PM","Apr 2007","Arrival","Domestic","Mail","1,889"
"2018 Apr 18 03:12:41 PM","Aug 2016","Arrival","International","Mail","1,698"
"2018 Apr 18 03:12:41 PM","Jan 2006","Arrival","International","Freight","46,391"
"2018 Apr 18 03:12:41 PM","Feb 2009","Departure","Domestic","Freight","27,105"
"2018 Apr 18 03:12:41 PM","Jan 2014","Departure","Domestic","Freight","33,246"
"2018 Apr 18 03:12:41 PM","May 2010","Departure","Domestic","Mail","2,391"
"2021 Feb 02 08:17:02 AM","Dec 2020","Arrival","International","Mail","1,451"
"2018 Apr 18 03:12:41 PM","Apr 2008","Arrival","Domestic","Freight","31,587"
"2018 Apr 18 03:12:41 PM","Feb 2009","Departure","International","Mail","963"
"2018 Apr 18 03:12:41 PM","Jul 2016","Arrival","Domestic","Mail","2,551"
"2020 Feb 28 08:21:30 AM","Jan 2020","Departure","International","Freight","41,281"
"2018 Apr 18 03:12:41 PM","Feb 2011","Arrival","Domestic","Mail","1,658"
"2018 Apr 18 03:12:41 PM","Dec 2012","Arrival","International","Mail","3,343"
"2018 Apr 18 03:12:41 PM","Aug 2013","Departure","Domestic","Mail","2,248"
"2018 Apr 18 03:12:41 PM","Oct 2015","Arrival","International","Freight","62,210"
"2018 Apr 18 03:12:41 PM","Nov 2006","Arrival","Domestic","Freight","36,344"
"2018 Apr 18 03:12:41 PM","Nov 2011","Departure","Domestic","Freight","33,340"
"2018 Dec 26 06:52:40 AM","Nov 2018","Departure","Domestic","Mail","3,330"
"2018 May 23 07:44:39 AM","Apr 2018","Departure","Domestic","Freight","33,957"
"2019 Nov 10 06:01:31 AM","Sep 2019","Departure","Domestic","Mail","4,813"
"2018 Apr 18 03:12:41 PM","Jul 2009","Departure","Domestic","Mail","1,733"
"2018 Apr 18 03:12:41 PM","Feb 2010","Departure","International","Freight","31,358"
"2018 Apr 18 03:12:41 PM","Nov 2011","Arrival","Domestic","Mail","1,596"
"2018 Apr 18 03:12:41 PM","Nov 2014","Arrival","International","Mail","1,047"
"2018 Apr 18 03:12:41 PM","Dec 2012","Departure","Domestic","Freight","37,422"
"2018 Apr 18 03:12:41 PM","Sep 2011","Departure","Domestic","Freight","31,606"
"2019 Nov 10 06:01:31 AM","Sep 2019","Departure","International","Mail","739"
"2019 Jan 30 07:34:09 AM","Dec 2018","Departure","Domestic","Mail","7,765"
"2019 Apr 29 01:10:30 PM","Oct 2018","Departure","International","Freight","55,110"
"2018 Aug 10 06:01:24 AM","Jun 2018","Arrival","International","Freight","77,091"
"2018 Apr 18 03:12:41 PM","Feb 2010","Arrival","International","Mail","658"
"2019 Apr 29 01:10:30 PM","Oct 2017","Arrival","International","Freight","75,541"
"2018 Apr 18 03:12:41 PM","Jun 2007","Departure","International","Mail","1,082"
"2018 Apr 18 03:12:41 PM","Mar 2010","Arrival","International","Freight","58,165"
"2018 Apr 18 03:12:41 PM","May 2015","Arrival","Domestic","Freight","29,455"
"2018 Apr 18 03:12:41 PM","Apr 2008","Arrival","Domestic","Mail","1,806"
"2018 Apr 18 03:12:41 PM","Sep 2014","Arrival","Domestic","Mail","1,846"
"2018 Apr 18 03:12:41 PM","Jul 2007","Arrival","Domestic","Freight","33,369"
"2018 Apr 18 03:12:41 PM","Jul 2017","Arrival","International","Freight","73,355"
"2018 Apr 18 03:12:41 PM","Dec 2009","Arrival","Domestic","Freight","34,683"
"2018 Apr 18 03:12:41 PM","Feb 2009","Arrival","Domestic","Freight","23,020"
"2018 Apr 18 03:12:41 PM","Nov 2010","Arrival","International","Mail","454"
"2019 Apr 29 01:10:30 PM","Jan 2018","Departure","International","Freight","46,385"
"2018 Apr 18 03:12:41 PM","Dec 2007","Departure","Domestic","Freight","37,963"
"2018 Apr 18 03:12:41 PM","Jul 2015","Arrival","Domestic","Freight","28,449"
"2018 Apr 18 03:12:41 PM","Jul 2013","Arrival","Domestic","Freight","27,644"
"2018 Apr 18 03:12:41 PM","Apr 2016","Departure","International","Freight","44,563"
"2018 Apr 18 03:12:41 PM","Feb 2006","Arrival","Domestic","Mail","2,551"
"2018 Apr 18 03:12:41 PM","Mar 2011","Arrival","Domestic","Freight","31,957"
"2018 Apr 18 03:12:41 PM","Aug 2015","Departure","Domestic","Mail","2,602"
"2019 May 28 06:24:45 AM","Apr 2019","Arrival","International","Freight","69,061"
"2018 Apr 18 03:12:41 PM","Oct 2015","Departure","International","Mail","1,349"
"2018 Apr 18 03:12:41 PM","Nov 2006","Arrival","International","Mail","769"
"2018 Apr 18 03:12:41 PM","May 2009","Departure","International","Freight","30,665"
"2018 Apr 18 03:12:41 PM","Jul 2011","Arrival","International","Mail","525"
"2018 Apr 18 03:12:41 PM","Oct 2012","Departure","International","Freight","39,897"
"2021 Apr 01 09:37:48 AM","Feb 2021","Arrival","Domestic","Mail","3,395"
"2018 Apr 18 03:12:41 PM","Jun 2006","Arrival","Domestic","Freight","39,164"
"2018 Apr 18 03:12:41 PM","Sep 2007","Arrival","Domestic","Mail","1,647"
"2018 Apr 18 03:12:41 PM","Jan 2007","Arrival","Domestic","Freight","36,417"
"2019 Nov 26 01:26:41 PM","Oct 2019","Departure","International","Freight","49,797"
"2018 Apr 18 03:12:41 PM","Apr 2009","Arrival","International","Freight","39,054"
"2018 Apr 18 03:12:41 PM","Jun 2007","Arrival","International","Mail","680"
"2018 May 23 07:44:39 AM","Apr 2018","Arrival","International","Mail","1,904"
"2018 Apr 18 03:12:41 PM","Oct 2010","Departure","Domestic","Freight","34,559"
"2018 Apr 18 03:12:41 PM","Jul 2011","Arrival","Domestic","Mail","1,286"
"2018 Apr 18 03:12:41 PM","Jan 2014","Arrival","International","Mail","796"
"2019 Jul 26 08:10:48 AM","Jun 2019","Departure","International","Freight","49,738"
"2018 Apr 18 03:12:41 PM","Aug 2014","Arrival","International","Freight","53,194"
"2018 Apr 18 03:12:41 PM","May 2006","Arrival","Domestic","Mail","2,217"
"2018 Apr 18 03:12:41 PM","Mar 2017","Departure","Domestic","Mail","3,193"
"2018 Apr 18 03:12:41 PM","Feb 2012","Departure","International","Mail","1,655"
"2018 Apr 18 03:12:41 PM","Mar 2007","Arrival","Domestic","Mail","1,870"
"2018 Apr 18 03:12:41 PM","Aug 2015","Arrival","Domestic","Mail","2,511"
"2018 Apr 18 03:12:41 PM","Nov 2014","Arrival","Domestic","Freight","32,704"
"2018 Apr 18 03:12:41 PM","Oct 2016","Departure","International","Freight","50,197"
"2018 Apr 18 03:12:41 PM","Jan 2013","Arrival","International","Freight","42,331"
"2018 Apr 18 03:12:41 PM","Jun 2008","Departure","International","Mail","1,186"
"2018 Apr 18 03:12:41 PM","Oct 2013","Departure","Domestic","Mail","2,168"
"2019 Aug 23 03:41:00 PM","Jul 2019","Departure","Domestic","Mail","4,484"
"2019 Jun 24 01:17:06 PM","May 2019","Arrival","Domestic","Mail","3,163"
"2019 Mar 14 06:45:08 AM","Feb 2019","Arrival","Domestic","Mail","3,514"
"2021 Feb 02 08:17:02 AM","Nov 2020","Departure","International","Freight","56,158"
"2018 Apr 18 03:12:41 PM","Jan 2007","Arrival","International","Freight","48,033"
"2018 Apr 18 03:12:41 PM","Apr 2008","Arrival","International","Mail","674"
"2018 Apr 18 03:12:41 PM","Jan 2009","Arrival","International","Mail","697"
"2018 Apr 18 03:12:41 PM","Oct 2006","Arrival","Domestic","Mail","1,981"
"2018 Apr 18 03:12:41 PM","Mar 2013","Departure","International","Freight","42,541"
"2019 May 28 06:24:45 AM","Apr 2019","Departure","Domestic","Freight","35,722"
"2020 Aug 03 07:35:04 AM","Jun 2020","Arrival","International","Mail","1,299"
"2018 Apr 18 03:12:41 PM","Jul 2006","Departure","Domestic","Mail","1,696"
"2018 Apr 18 03:12:41 PM","Mar 2011","Departure","Domestic","Freight","33,516"
"2018 Apr 18 03:12:41 PM","Jan 2014","Arrival","Domestic","Mail","1,932"
"2021 Mar 03 10:48:12 AM","Jan 2021","Departure","International","Mail","600"
"2018 Aug 10 06:01:24 AM","Jun 2018","Departure","International","Freight","55,694"
"2018 Apr 18 03:12:41 PM","Jul 2014","Arrival","Domestic","Freight","30,634"
"2018 Apr 18 03:12:41 PM","Nov 2006","Departure","International","Mail","2,810"
"2018 Jul 11 02:24:22 PM","May 2018","Arrival","Domestic","Mail","2,616"
"2018 Apr 18 03:12:41 PM","Oct 2011","Departure","Domestic","Mail","2,579"
"2018 Apr 18 03:12:41 PM","Nov 2013","Arrival","Domestic","Mail","2,006"
"2018 Apr 18 03:12:41 PM","Jun 2017","Arrival","International","Mail","1,530"
"2018 Apr 18 03:12:41 PM","Jul 2015","Departure","Domestic","Mail","2,710"
"2018 Apr 18 03:12:41 PM","Jul 2016","Arrival","Domestic","Freight","29,580"
"2018 Apr 18 03:12:41 PM","Jun 2014","Departure","Domestic","Freight","33,632"
"2018 Apr 18 03:12:41 PM","Jan 2015","Departure","International","Mail","1,248"
"2018 Apr 18 03:12:41 PM","Mar 2014","Arrival","International","Mail","756"
"2021 Mar 03 10:48:12 AM","Jan 2021","Arrival","Domestic","Freight","38,630"
"2018 Apr 18 03:12:41 PM","Oct 2009","Departure","International","Freight","32,434"
"2018 Apr 18 03:12:41 PM","Mar 2015","Departure","Domestic","Mail","2,573"
"2018 Apr 18 03:12:41 PM","Apr 2011","Departure","International","Mail","1,862"
"2018 Apr 18 03:12:41 PM","Jul 2011","Departure","Domestic","Mail","2,102"
"2018 Apr 18 03:12:41 PM","Aug 2015","Departure","International","Freight","43,492"
"2018 Apr 18 03:12:41 PM","Apr 2012","Departure","Domestic","Mail","2,545"
"2018 Apr 18 03:12:41 PM","Jul 2008","Departure","Domestic","Mail","2,184"
"2018 Apr 18 03:12:41 PM","Oct 2007","Departure","Domestic","Freight","37,887"
"2018 Apr 18 03:12:41 PM","Mar 2008","Departure","Domestic","Freight","35,055"
"2018 Apr 18 03:12:41 PM","Nov 2012","Departure","Domestic","Freight","34,907"
"2018 Apr 18 03:12:41 PM","Jan 2011","Arrival","International","Freight","43,452"
"2018 Apr 18 03:12:41 PM","Oct 2014","Departure","International","Mail","1,347"
"2019 Apr 29 01:10:30 PM","Nov 2017","Arrival","International","Freight","78,753"
"2018 Dec 26 06:52:40 AM","Nov 2018","Arrival","Domestic","Mail","2,726"
"2018 Apr 18 03:12:41 PM","May 2014","Arrival","International","Freight","56,207"
"2020 Aug 27 07:15:54 AM","Jul 2020","Departure","Domestic","Freight","36,121"
"2019 Jun 24 01:17:06 PM","May 2019","Arrival","International","Freight","73,469"
"2019 Jun 24 01:17:06 PM","May 2019","Departure","Domestic","Mail","3,962"
"2018 Apr 18 03:12:41 PM","Sep 2011","Arrival","International","Mail","555"
"2018 Apr 18 03:12:41 PM","May 2009","Departure","Domestic","Freight","29,818"
"2018 Nov 25 11:40:39 AM","Oct 2018","Departure","Domestic","Freight","40,902"
"2018 Apr 18 03:12:41 PM","Apr 2014","Arrival","Domestic","Freight","29,398"
"2020 Apr 08 09:58:08 AM","Feb 2020","Arrival","Domestic","Freight","20,640"
"2018 Apr 18 03:12:41 PM","Jan 2011","Departure","International","Mail","1,917"
"2020 Oct 27 08:53:01 AM","Aug 2020","Departure","Domestic","Freight","33,822"
"2019 Apr 29 01:10:30 PM","Aug 2017","Departure","International","Freight","50,895"
"2018 Apr 18 03:12:41 PM","Dec 2009","Arrival","Domestic","Mail","1,793"
"2018 Apr 18 03:12:41 PM","Sep 2015","Departure","International","Mail","1,131"
"2021 Jan 10 06:01:37 AM","Oct 2020","Departure","International","Mail","496"
"2019 Apr 10 06:01:25 AM","Mar 2019","Departure","Domestic","Mail","5,075"
"2018 Apr 18 03:12:41 PM","Dec 2013","Departure","International","Mail","1,597"
"2018 Apr 18 03:12:41 PM","Jun 2012","Departure","Domestic","Freight","34,248"
"2018 Apr 18 03:12:41 PM","Jan 2016","Arrival","International","Mail","1,429"
"2018 Apr 18 03:12:41 PM","Mar 2009","Arrival","Domestic","Mail","1,219"
"2018 Apr 18 03:12:41 PM","Oct 2014","Arrival","International","Freight","61,391"
"2018 Apr 18 03:12:41 PM","Jul 2008","Arrival","International","Mail","664"
"2018 Apr 18 03:12:41 PM","Apr 2006","Arrival","International","Mail","547"
"2020 Jan 22 06:57:11 AM","Dec 2019","Arrival","International","Mail","1,735"
"2018 Apr 18 03:12:41 PM","Sep 2015","Departure","Domestic","Freight","37,460"
"2018 Apr 18 03:12:41 PM","Mar 2017","Arrival","Domestic","Mail","2,953"
"2018 Apr 18 03:12:41 PM","Jun 2015","Arrival","Domestic","Mail","2,391"
"2018 Apr 18 03:12:41 PM","Dec 2015","Departure","Domestic","Mail","5,603"
"2018 Apr 18 03:12:41 PM","Oct 2009","Arrival","International","Freight","55,881"
"2018 Apr 18 03:12:41 PM","Nov 2010","Departure","Domestic","Mail","2,693"
"2018 Apr 18 03:12:41 PM","Oct 2008","Arrival","Domestic","Freight","29,722"
"2018 Apr 18 03:12:41 PM","Sep 2014","Departure","International","Mail","1,106"
"2018 Apr 18 03:12:41 PM","Aug 2006","Departure","International","Freight","38,239"
"2018 Apr 18 03:12:41 PM","Dec 2007","Arrival","Domestic","Freight","35,393"
"2018 Apr 18 03:12:41 PM","Aug 2014","Arrival","International","Mail","774"
"2019 Aug 23 03:41:00 PM","Jul 2019","Arrival","Domestic","Freight","28,553"
"2018 Apr 18 03:12:41 PM","Mar 2018","Departure","Domestic","Freight","39,036"
"2018 Apr 18 03:12:41 PM","Apr 2007","Departure","Domestic","Mail","2,111"
"2019 May 28 06:24:45 AM","Apr 2019","Departure","International","Mail","766"
"2018 Apr 18 03:12:41 PM","Dec 2009","Departure","Domestic","Freight","36,207"
"2020 Apr 29 07:14:24 AM","Mar 2020","Arrival","Domestic","Freight","30,218"
"2018 Apr 18 03:12:41 PM","Nov 2016","Arrival","International","Mail","1,539"
"2018 Apr 18 03:12:41 PM","Aug 2012","Departure","Domestic","Freight","32,810"
"2018 Apr 18 03:12:41 PM","Mar 2008","Arrival","International","Mail","707"
"2018 Apr 18 03:12:41 PM","Feb 2014","Arrival","International","Freight","34,457"
"2018 Apr 18 03:12:41 PM","Nov 2013","Arrival","International","Freight","53,653"
"2019 Apr 29 01:10:30 PM","Aug 2017","Arrival","International","Freight","74,421"
"2019 Mar 14 06:45:08 AM","Feb 2019","Departure","Domestic","Mail","4,860"
"2018 Apr 18 03:12:41 PM","Apr 2006","Departure","Domestic","Mail","2,279"
"2018 Apr 18 03:12:41 PM","Apr 2008","Arrival","International","Freight","50,366"
"2020 Sep 28 04:07:45 PM","Aug 2020","Arrival","International","Mail","781"
"2018 Apr 18 03:12:41 PM","Aug 2009","Departure","International","Freight","33,470"
"2018 Apr 18 03:12:41 PM","Dec 2012","Departure","International","Freight","38,981"
"2021 Mar 03 10:48:12 AM","Jan 2021","Departure","International","Freight","52,120"
"2018 Apr 18 03:12:41 PM","May 2007","Arrival","International","Freight","50,632"
"2018 Apr 18 03:12:41 PM","Feb 2012","Arrival","International","Mail","514"
"2018 Apr 18 03:12:41 PM","Aug 2016","Departure","Domestic","Mail","2,808"
"2018 Apr 18 03:12:41 PM","Mar 2010","Departure","Domestic","Mail","2,245"
"2018 Apr 18 03:12:41 PM","Aug 2009","Arrival","International","Mail","548"
"2018 Apr 18 03:12:41 PM","Mar 2006","Arrival","Domestic","Mail","2,659"
"2018 Apr 18 03:12:41 PM","Mar 2008","Departure","Domestic","Mail","2,207"
"2018 Apr 18 03:12:41 PM","Feb 2017","Departure","International","Freight","45,020"
"2018 Apr 18 03:12:41 PM","Sep 2009","Departure","Domestic","Freight","30,561"
"2018 Apr 18 03:12:41 PM","Nov 2014","Departure","International","Mail","1,457"
"2018 Apr 18 03:12:41 PM","Jul 2015","Arrival","Domestic","Mail","2,520"
"2018 Apr 18 03:12:41 PM","Jul 2011","Arrival","International","Freight","48,674"
"2018 Apr 18 03:12:41 PM","Oct 2010","Departure","International","Freight","42,190"
"2018 Apr 18 03:12:41 PM","Aug 2014","Arrival","Domestic","Mail","1,904"
"2018 Apr 18 03:12:41 PM","Jul 2007","Arrival","Domestic","Mail","913"
"2018 Apr 18 03:12:41 PM","Nov 2013","Arrival","International","Mail","951"
"2018 Apr 18 03:12:41 PM","Jan 2008","Arrival","Domestic","Mail","1,761"
"2020 Dec 07 01:58:36 PM","Oct 2020","Departure","International","Freight","56,675"
"2018 Apr 18 03:12:41 PM","Apr 2011","Arrival","International","Freight","51,792"
"2018 Apr 18 03:12:41 PM","Jun 2015","Departure","International","Freight","47,702"
"2018 Oct 29 10:20:51 AM","Sep 2018","Arrival","Domestic","Mail","2,528"
"2020 Sep 28 04:07:45 PM","Aug 2020","Departure","International","Mail","341"
"2018 Apr 18 03:12:41 PM","Jun 2011","Arrival","Domestic","Freight","29,410"
"2018 Apr 18 03:12:41 PM","Jan 2011","Arrival","International","Mail","510"
"2018 Apr 18 03:12:41 PM","Aug 2017","Arrival","Domestic","Freight","32,515"
"2018 Apr 18 03:12:41 PM","Jul 2006","Arrival","Domestic","Mail","1,761"
"2018 Apr 18 03:12:41 PM","Jun 2013","Departure","Domestic","Mail","1,796"
"2018 Apr 18 03:12:41 PM","Aug 2008","Departure","Domestic","Mail","2,111"
"2018 Apr 18 03:12:41 PM","Oct 2009","Arrival","International","Mail","728"
"2019 Sep 27 07:57:24 AM","Aug 2019","Departure","Domestic","Freight","34,327"
"2018 Apr 18 03:12:41 PM","Mar 2014","Departure","Domestic","Mail","2,250"
"2018 Apr 18 03:12:41 PM","Sep 2011","Arrival","Domestic","Freight","29,192"
"2018 Apr 18 03:12:41 PM","Oct 2013","Departure","International","Mail","1,392"
"2018 Apr 18 03:12:41 PM","Sep 2017","Arrival","Domestic","Freight","32,683"
"2018 Apr 18 03:12:41 PM","Mar 2015","Arrival","Domestic","Freight","31,646"
"2018 Apr 18 03:12:41 PM","Nov 2012","Departure","International","Mail","1,831"
"2018 Apr 18 03:12:41 PM","May 2011","Arrival","Domestic","Freight","28,741"
"2018 Apr 18 03:12:41 PM","Jul 2009","Departure","Domestic","Freight","30,568"
"2018 Apr 18 03:12:41 PM","Mar 2017","Arrival","International","Mail","1,793"
"2018 Apr 18 03:12:41 PM","Nov 2011","Arrival","International","Freight","51,700"
"2018 Apr 18 03:12:41 PM","Mar 2006","Departure","International","Freight","35,170"
"2018 Apr 18 03:12:41 PM","Aug 2009","Arrival","Domestic","Freight","28,796"
"2018 Apr 18 03:12:41 PM","Feb 2015","Departure","International","Mail","1,065"
"2018 Apr 18 03:12:41 PM","Mar 2013","Arrival","International","Freight","54,097"
"2018 Apr 18 03:12:41 PM","Jan 2009","Departure","Domestic","Freight","28,389"
"2018 Apr 18 03:12:41 PM","Apr 2011","Departure","International","Freight","38,672"
"2019 Jun 24 01:17:06 PM","May 2019","Arrival","Domestic","Freight","29,978"
"2018 Apr 18 03:12:41 PM","Apr 2016","Departure","Domestic","Mail","2,301"
"2020 Apr 08 09:58:08 AM","Feb 2020","Arrival","International","Mail","855"
"2018 Apr 18 03:12:41 PM","Mar 2006","Departure","Domestic","Freight","44,584"
