"DataExtractDate","ReportPeriod","Arrival_Departure","Domestic_International","CargoType","AirCargoTons"
"2022 Mar 01 12:00:19 AM","Jan 2022","Departure","Domestic","Mail","5,151"
"2023 Apr 01 12:01:02 AM","Feb 2023","Arrival","International","Freight","73,346"
"2022 Mar 01 12:00:19 AM","Jan 2022","Departure","International","Mail","611"
"2023 Apr 01 12:01:02 AM","Feb 2023","Arrival","International","Mail","648"
"2023 Apr 01 12:01:02 AM","Feb 2023","Departure","Domestic","Freight","29,992"
"2022 Mar 01 12:00:19 AM","Jan 2022","Arrival","International","Mail","783"
"2023 Apr 01 12:01:02 AM","Feb 2023","Departure","Domestic","Mail","4,622"
"2022 Aug 30 11:02:17 AM","Jun 2022","Departure","International","Mail","544"
"2023 Apr 01 12:01:02 AM","Feb 2023","Departure","International","Freight","46,484"
"2023 Apr 01 12:01:02 AM","Feb 2023","Departure","International","Mail","330"
"2022 Aug 30 11:02:17 AM","Jul 2022","Arrival","Domestic","Mail","3,374"
"2022 Aug 30 11:02:17 AM","Jul 2022","Arrival","International","Mail","719"
"2022 Aug 30 11:02:17 AM","Jul 2022","Departure","Domestic","Freight","32,282"
"2022 Aug 30 11:02:17 AM","Jul 2022","Arrival","Domestic","Freight","36,637"
"2023 Apr 01 12:01:02 AM","Feb 2023","Arrival","Domestic","Mail","2,575"
"2022 Aug 30 11:02:17 AM","Jul 2022","Departure","International","Mail","431"
"2023 Oct 01 12:00:24 AM","Aug 2023","Arrival","International","Freight","79,668"
"2023 Jul 01 12:00:21 AM","May 2023","Arrival","Domestic","Mail","1,850"
"2022 Aug 30 11:02:17 AM","Jun 2022","Arrival","International","Mail","640"
"2023 Jul 01 12:00:21 AM","May 2023","Departure","Domestic","Mail","3,504"
"2023 Jul 01 12:00:21 AM","May 2023","Departure","International","Mail","476"
"2022 Aug 30 11:02:17 AM","Jul 2022","Departure","Domestic","Mail","5,309"
"2022 Oct 01 12:00:21 AM","Aug 2022","Departure","Domestic","Mail","5,243"
"2022 Oct 01 12:00:21 AM","Aug 2022","Departure","Domestic","Freight","32,666"
"2022 Oct 01 12:00:21 AM","Aug 2022","Arrival","International","Mail","666"
"2022 Oct 01 12:00:21 AM","Aug 2022","Arrival","Domestic","Freight","33,937"
"2023 Jun 10 06:01:11 AM","Apr 2023","Arrival","Domestic","Freight","31,482"
"2022 Oct 01 12:00:21 AM","Aug 2022","Arrival","Domestic","Mail","3,072"
"2022 Oct 01 12:00:21 AM","Aug 2022","Departure","International","Mail","435"
"2023 Jul 01 12:00:21 AM","May 2023","Arrival","International","Mail","796"
"2023 Jun 10 06:01:11 AM","Apr 2023","Departure","Domestic","Mail","3,406"
"2022 Nov 01 12:00:21 AM","Sep 2022","Arrival","Domestic","Mail","3,064"
"2022 Nov 01 12:00:21 AM","Sep 2022","Departure","International","Mail","422"
"2022 Nov 01 12:00:21 AM","Sep 2022","Arrival","Domestic","Freight","34,771"
"2022 Nov 01 12:00:21 AM","Sep 2022","Arrival","International","Mail","794"
"2022 Nov 01 12:00:21 AM","Sep 2022","Departure","Domestic","Freight","31,846"
"2023 Oct 01 12:00:24 AM","Aug 2023","Departure","Domestic","Mail","3,196"
"2022 Nov 01 12:00:21 AM","Sep 2022","Departure","Domestic","Mail","5,374"
"2022 Dec 01 12:00:35 AM","Oct 2022","Departure","International","Mail","478"
"2023 Jul 01 12:00:21 AM","May 2023","Departure","Domestic","Freight","32,106"
"2023 Jul 01 12:00:21 AM","May 2023","Arrival","Domestic","Freight","32,555"
"2022 Dec 01 12:00:35 AM","Oct 2022","Arrival","Domestic","Mail","3,169"
"2023 Jul 10 06:01:08 AM","May 2023","Departure","International","Freight","42,450"
"2022 Dec 01 12:00:35 AM","Oct 2022","Departure","Domestic","Mail","5,093"
"2023 Aug 01 12:00:18 AM","Jun 2023","Departure","Domestic","Freight","35,157"
"2022 Dec 01 12:00:35 AM","Oct 2022","Arrival","International","Mail","729"
"2023 Jan 01 12:00:28 AM","Nov 2022","Arrival","International","Mail","803"
"2023 Jul 10 06:01:08 AM","May 2023","Arrival","International","Freight","76,742"
"2023 Jan 01 12:00:28 AM","Nov 2022","Departure","International","Mail","452"
"2023 Aug 01 12:00:18 AM","Jun 2023","Arrival","International","Freight","75,193"
"2023 Jan 01 12:00:28 AM","Nov 2022","Arrival","Domestic","Mail","3,004"
"2023 Jan 01 12:00:28 AM","Nov 2022","Arrival","International","Freight","88,471"
"2023 Jan 01 12:00:28 AM","Nov 2022","Departure","Domestic","Mail","5,555"
"2023 Aug 01 12:00:18 AM","Jun 2023","Departure","International","Freight","47,687"
"2023 Aug 01 12:00:18 AM","Jun 2023","Arrival","Domestic","Mail","1,566"
"2023 Jan 01 12:00:28 AM","Nov 2022","Departure","Domestic","Freight","33,448"
"2023 Jan 01 12:00:28 AM","Nov 2022","Arrival","Domestic","Freight","36,231"
"2023 Jan 01 12:00:28 AM","Nov 2022","Departure","International","Freight","49,283"
"2023 Feb 01 12:00:35 AM","May 2022","Arrival","International","Freight","97,917"
"2023 Feb 01 12:00:35 AM","Dec 2022","Arrival","International","Mail","915"
"2023 Feb 01 12:00:35 AM","Dec 2022","Arrival","Domestic","Mail","3,961"
"2023 Feb 01 12:00:35 AM","Jan 2022","Departure","International","Freight","53,683"
"2023 Feb 01 12:00:35 AM","Sep 2022","Arrival","International","Freight","88,610"
"2023 Feb 01 12:00:35 AM","Dec 2022","Departure","Domestic","Mail","8,309"
"2023 Feb 01 12:00:35 AM","Sep 2022","Departure","International","Freight","52,245"
"2023 Feb 01 12:00:35 AM","Aug 2022","Arrival","International","Freight","89,902"
"2023 Feb 01 12:00:35 AM","Jul 2022","Departure","International","Freight","58,320"
"2023 Feb 01 12:00:35 AM","Oct 2022","Arrival","International","Freight","92,967"
"2023 Feb 01 12:00:35 AM","Mar 2022","Departure","International","Freight","61,571"
"2023 Aug 01 12:00:18 AM","Jun 2023","Departure","Domestic","Mail","3,428"
"2022 Jan 31 03:01:29 PM","Dec 2021","Departure","Domestic","Mail","7,834"
"2022 Jan 31 03:01:29 PM","Dec 2021","Departure","International","Mail","614"
"2022 Jan 31 03:01:29 PM","Nov 2021","Arrival","International","Freight","105,462"
"2022 Jan 31 03:01:29 PM","Dec 2021","Departure","International","Freight","56,572"
"2022 Jan 31 03:01:29 PM","Dec 2021","Arrival","International","Mail","891"
"2022 Jan 31 03:01:29 PM","Dec 2021","Arrival","Domestic","Mail","4,564"
"2022 Jan 10 06:01:08 AM","Oct 2021","Departure","International","Freight","61,305"
"2022 Jan 31 03:01:29 PM","Dec 2021","Arrival","International","Freight","102,227"
"2023 Feb 01 12:00:35 AM","Jun 2022","Departure","International","Freight","59,223"
"2022 Jan 10 06:01:08 AM","Oct 2021","Arrival","International","Freight","104,723"
"2022 Jan 31 03:01:29 PM","Nov 2021","Departure","International","Freight","54,102"
"2023 Feb 01 12:00:35 AM","Jul 2022","Arrival","International","Freight","90,221"
"2023 Feb 01 12:00:35 AM","Dec 2022","Arrival","Domestic","Freight","35,371"
"2022 Apr 01 12:00:18 AM","Feb 2022","Arrival","International","Mail","688"
"2022 Apr 01 12:00:18 AM","Feb 2022","Departure","International","Mail","604"
"2022 Jul 01 12:00:22 AM","May 2022","Arrival","International","Mail","697"
"2023 May 01 12:00:21 AM","Mar 2023","Departure","Domestic","Mail","4,738"
"2022 Apr 01 12:00:18 AM","Feb 2022","Arrival","Domestic","Mail","2,521"
"2023 May 01 12:00:21 AM","Mar 2023","Departure","Domestic","Freight","34,600"
"2022 Apr 01 12:00:18 AM","Feb 2022","Departure","Domestic","Mail","5,181"
"2023 Feb 01 12:00:35 AM","Feb 2022","Arrival","International","Freight","78,145"
"2022 May 01 12:00:25 AM","Feb 2022","Departure","Domestic","Freight","36,688"
"2022 May 01 12:00:25 AM","Mar 2022","Departure","Domestic","Freight","41,683"
"2022 May 01 12:00:25 AM","Nov 2021","Arrival","Domestic","Freight","46,863"
"2022 May 01 12:00:25 AM","Jan 2022","Arrival","Domestic","Freight","43,509"
"2022 May 01 12:00:25 AM","Mar 2022","Arrival","Domestic","Mail","3,008"
"2022 May 01 12:00:25 AM","Jan 2022","Departure","Domestic","Freight","36,290"
"2022 May 01 12:00:25 AM","Oct 2021","Arrival","Domestic","Freight","45,427"
"2023 Feb 01 12:00:35 AM","Apr 2022","Arrival","International","Freight","92,037"
"2022 May 01 12:00:25 AM","Mar 2022","Arrival","Domestic","Freight","42,506"
"2022 May 01 12:00:25 AM","Dec 2021","Departure","Domestic","Freight","43,107"
"2022 May 01 12:00:25 AM","Mar 2022","Departure","Domestic","Mail","5,428"
"2023 Feb 01 12:00:35 AM","May 2022","Departure","International","Freight","60,411"
"2022 May 01 12:00:25 AM","Mar 2022","Arrival","International","Mail","722"
"2022 May 01 12:00:25 AM","Sep 2021","Departure","Domestic","Freight","38,708"
"2022 May 01 12:00:25 AM","Oct 2021","Departure","Domestic","Freight","38,080"
"2022 May 01 12:00:25 AM","Nov 2021","Departure","Domestic","Freight","38,876"
"2022 May 01 12:00:25 AM","Dec 2021","Arrival","Domestic","Freight","47,536"
"2022 May 01 12:00:25 AM","Sep 2021","Arrival","Domestic","Freight","43,806"
"2022 May 01 12:00:25 AM","Mar 2022","Departure","International","Mail","485"
"2022 May 01 12:00:25 AM","Feb 2022","Arrival","Domestic","Freight","38,821"
"2022 Jul 01 12:00:22 AM","May 2022","Departure","International","Mail","609"
"2023 Feb 01 12:00:35 AM","Dec 2022","Departure","Domestic","Freight","36,938"
"2023 Feb 01 12:00:35 AM","Feb 2022","Departure","International","Freight","55,990"
"2022 Jul 28 09:31:00 AM","May 2022","Arrival","Domestic","Mail","3,652"
"2023 Feb 01 12:00:35 AM","Jun 2022","Arrival","International","Freight","95,170"
"2023 Feb 01 12:00:35 AM","Apr 2022","Departure","International","Freight","58,043"
"2022 Jul 28 09:31:00 AM","May 2022","Departure","Domestic","Mail","5,716"
"2023 Feb 01 12:00:35 AM","Dec 2022","Arrival","International","Freight","85,692"
"2023 Feb 01 12:00:35 AM","Dec 2022","Departure","International","Mail","597"
"2022 Jul 28 09:31:00 AM","May 2022","Departure","Domestic","Freight","35,308"
"2022 Jul 28 09:31:00 AM","Jun 2022","Departure","Domestic","Freight","35,344"
"2023 Feb 01 12:00:35 AM","Mar 2022","Arrival","International","Freight","103,588"
"2022 Jul 28 09:31:00 AM","Jun 2022","Departure","Domestic","Mail","5,655"
"2022 Jul 28 09:31:00 AM","May 2022","Arrival","Domestic","Freight","37,996"
"2023 Feb 01 12:00:35 AM","Jan 2022","Arrival","International","Freight","96,077"
"2022 Jul 28 09:31:00 AM","Jun 2022","Arrival","Domestic","Freight","39,753"
"2022 Jul 28 09:31:00 AM","Jun 2022","Arrival","Domestic","Mail","3,944"
"2023 Feb 01 12:00:35 AM","Dec 2022","Departure","International","Freight","48,512"
"2023 Feb 01 12:00:35 AM","Aug 2022","Departure","International","Freight","59,241"
"2023 Feb 01 12:00:35 AM","Oct 2022","Departure","International","Freight","52,875"
"2023 May 01 12:00:21 AM","Mar 2023","Arrival","International","Mail","848"
"2023 May 01 12:00:21 AM","Mar 2023","Departure","International","Mail","346"
"2023 May 01 12:00:21 AM","Mar 2023","Arrival","Domestic","Freight","35,974"
"2023 May 01 12:00:21 AM","Mar 2023","Arrival","Domestic","Mail","2,738"
"2023 Aug 01 12:00:18 AM","Jun 2023","Departure","International","Mail","427"
"2023 Aug 01 12:00:18 AM","Jun 2023","Arrival","Domestic","Freight","33,229"
"2023 Jun 01 12:01:10 AM","Apr 2023","Departure","International","Mail","436"
"2023 Jun 01 12:01:10 AM","Apr 2023","Departure","Domestic","Freight","30,208"
"2023 Jun 01 12:01:10 AM","Apr 2023","Departure","International","Freight","40,666"
"2023 Jun 01 12:01:10 AM","Mar 2023","Departure","International","Freight","52,044"
"2023 Aug 01 12:00:18 AM","Jun 2023","Arrival","International","Mail","815"
"2023 Mar 01 12:01:36 AM","Jan 2023","Arrival","Domestic","Mail","2,868"
"2023 Mar 01 12:01:36 AM","Jan 2023","Departure","Domestic","Freight","29,711"
"2023 Mar 01 12:01:36 AM","Jan 2023","Departure","Domestic","Mail","5,164"
"2023 Mar 01 12:01:36 AM","Oct 2022","Departure","Domestic","Freight","35,283"
"2023 Mar 01 12:01:36 AM","Oct 2022","Arrival","Domestic","Freight","35,709"
"2023 Mar 01 12:01:36 AM","Jan 2023","Arrival","Domestic","Freight","28,922"
"2023 Mar 01 12:01:36 AM","Jan 2023","Departure","International","Freight","40,673"
"2023 Mar 01 12:01:36 AM","Jan 2023","Arrival","International","Mail","660"
"2023 Mar 01 12:01:36 AM","Jan 2023","Departure","International","Mail","380"
"2023 Mar 01 12:01:36 AM","Jan 2023","Arrival","International","Freight","70,780"
"2023 Oct 01 12:00:24 AM","Aug 2023","Departure","Domestic","Freight","34,663"
"2023 Jun 01 12:01:10 AM","Apr 2023","Arrival","International","Mail","737"
"2023 Jun 01 12:01:10 AM","Mar 2023","Arrival","International","Freight","82,971"
"2023 Jun 01 12:01:10 AM","Apr 2023","Arrival","Domestic","Mail","1,886"
"2023 Jun 01 12:01:10 AM","Apr 2023","Arrival","International","Freight","74,215"
"2023 Sep 01 12:00:48 AM","Jul 2023","Arrival","Domestic","Freight","31,310"
"2023 Sep 01 12:00:48 AM","Jul 2023","Departure","Domestic","Mail","2,667"
"2023 Sep 01 12:00:48 AM","Jul 2023","Departure","Domestic","Freight","31,185"
"2023 Sep 01 12:00:48 AM","Jul 2023","Arrival","Domestic","Mail","1,350"
"2023 Sep 01 12:00:48 AM","Jul 2023","Arrival","International","Mail","763"
"2023 Sep 01 12:00:48 AM","Jul 2023","Departure","International","Mail","450"
"2023 Sep 01 12:00:48 AM","Jul 2023","Arrival","International","Freight","80,071"
"2023 Sep 01 12:00:48 AM","Jul 2023","Departure","International","Freight","50,406"
"2023 Oct 01 12:00:24 AM","Aug 2023","Arrival","International","Mail","880"
"2023 Oct 01 12:00:24 AM","Aug 2023","Departure","International","Mail","350"
"2023 Oct 01 12:00:24 AM","Aug 2023","Departure","International","Freight","44,890"
"2023 Oct 01 12:00:24 AM","Aug 2023","Arrival","Domestic","Freight","34,779"
"2023 Oct 01 12:00:24 AM","Aug 2023","Arrival","Domestic","Mail","1,192"
"2023 Nov 01 12:00:21 AM","Sep 2023","Arrival","Domestic","Freight","32,202"
"2023 Nov 01 12:00:21 AM","Sep 2023","Arrival","Domestic","Mail","1,088"
"2023 Nov 01 12:00:21 AM","Sep 2023","Arrival","International","Freight","81,197"
"2023 Nov 01 12:00:21 AM","Sep 2023","Arrival","International","Mail","890"
"2023 Nov 01 12:00:21 AM","Sep 2023","Departure","Domestic","Mail","3,298"
"2023 Nov 01 12:00:21 AM","Sep 2023","Departure","International","Mail","534"
"2023 Nov 01 12:00:21 AM","Sep 2023","Departure","International","Freight","43,149"
"2023 Nov 30 04:52:29 AM","Sep 2023","Departure","Domestic","Freight","32,624"
"2023 Nov 18 05:28:20 AM","Oct 2023","Arrival","Domestic","Freight","32,967"
"2023 Nov 18 05:28:20 AM","Oct 2023","Departure","International","Mail","361"
"2023 Nov 18 05:28:20 AM","Oct 2023","Departure","Domestic","Freight","32,827"
"2023 Nov 18 05:28:20 AM","Oct 2023","Arrival","International","Freight","87,673"
"2023 Nov 18 05:28:20 AM","Oct 2023","Departure","Domestic","Mail","3,348"
